,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Oceania,2011.0,25.0,404.0,455.0,884.0
1,1,Oceania,2012.0,10.0,447.0,383.0,840.0
2,2,Oceania,2013.0,27.0,323.0,369.0,719.0
3,3,Oceania,2014.0,9.0,206.0,309.0,524.0
4,4,Oceania,2015.0,18.0,270.0,462.0,750.0
5,5,Oceania,2016.0,27.0,442.0,705.0,1174.0
6,6,Oceania,2017.0,41.0,747.0,715.0,1503.0
7,7,Oceania,2018.0,76.0,924.0,913.0,1913.0
8,8,Oceania,2019.0,80.0,1521.0,1417.0,3018.0
9,9,Oceania,2020.0,146.0,1478.0,1964.0,3588.0
10,10,Oceania,2021.0,206.0,2457.0,2925.0,5588.0
11,11,Oceania,2022.0,214.0,2832.0,2775.0,5821.0
12,12,Oceania,2023.0,370.0,5415.0,4056.0,9841.0
