,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011.0,1.0,10.0,114.0,125.0
1,Eastern Mediterranean,2012.0,6.0,47.0,282.0,335.0
2,Eastern Mediterranean,2013.0,9.0,23.0,176.0,208.0
3,Eastern Mediterranean,2014.0,5.0,24.0,172.0,201.0
4,Eastern Mediterranean,2015.0,2.0,24.0,169.0,195.0
5,Eastern Mediterranean,2016.0,8.0,27.0,201.0,236.0
6,Eastern Mediterranean,2017.0,9.0,23.0,181.0,213.0
7,Eastern Mediterranean,2018.0,7.0,49.0,340.0,396.0
8,Eastern Mediterranean,2019.0,8.0,58.0,240.0,306.0
9,Eastern Mediterranean,2020.0,9.0,66.0,239.0,314.0
10,Eastern Mediterranean,2021.0,12.0,88.0,408.0,508.0
11,Eastern Mediterranean,2022.0,20.0,209.0,604.0,833.0
12,Eastern Mediterranean,2023.0,33.0,344.0,414.0,791.0
