,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011.0,68.0,2189.0,1552.0,3809.0
1,1,Asia,2012.0,86.0,2797.0,2362.0,5245.0
2,2,Asia,2013.0,129.0,2100.0,2175.0,4404.0
3,3,Asia,2014.0,121.0,1878.0,2360.0,4359.0
4,4,Asia,2015.0,68.0,1668.0,1952.0,3688.0
5,5,Asia,2016.0,78.0,1290.0,1639.0,3007.0
6,6,Asia,2017.0,104.0,1929.0,2431.0,4464.0
7,7,Asia,2018.0,47.0,1083.0,1502.0,2632.0
8,8,Asia,2019.0,128.0,1242.0,1464.0,2834.0
9,9,Asia,2020.0,97.0,1350.0,1557.0,3004.0
10,10,Asia,2021.0,285.0,3806.0,4078.0,8169.0
11,11,Asia,2022.0,379.0,6568.0,5362.0,12309.0
12,12,Asia,2023.0,468.0,9666.0,7321.0,17455.0
